"","School.Year","Borough","Geographical.District.Code","Register","X..Schools","Major.N","Oth.N","NoCrim.N","Prop.N","Vio.N"
"1","2013-14","K",15,"1,277",1,"0","2","1","1","0"
"2","2013-14","K",17,"876",3,"1","5","2","2","4"
"3","2013-14","K",13,"513",1,"2","0","0","2","0"
"4","2013-14","K",16,"312",1,"1","1","0","2","0"
"5","2013-14","K",17,"714",1,"0","1","2","0","0"
"6","2013-14","K",19,"1,073",1,"0","1","0","0","0"
"7","2013-14","K",13,"848",1,"0","0","0","0","0"
"8","2013-14","K",13,"722",2,"0","1","1","1","0"
"9","2013-14","K",15,"921",1,"0","1","0","0","1"
"10","2013-14","K",13,"732",1,"1","0","1","1","0"
"11","2013-14","K",15,"578",1,"0","1","0","1","0"
"12","2013-14","K",23,"357",2,"2","3","3","5","0"
"13","2013-14","K",19,"494",2,"0","1","4","0","1"
"14","2013-14","K",22,"558",1,"0","4","2","3","0"
"15","2013-14","K",15,"392",1,"0","1","1","1","0"
"16","2013-14","K",14,"249",2,"0","0","2","0","0"
"17","2013-14","K",14,"832",2,"0","0","1","0","0"
"18","2013-14","K",14,"197",1,"1","2","1","3","0"
"19","2014-15","K",7,"395",1,"0","1","1","0","1"
"20","2013-14","K",14,"447",2,"0","1","1","1","0"
"21","2013-14","K",13,"811",2,"0","0","1","0","0"
"22","2013-14","K",16,"648",1,"0","1","1","1","0"
"23","2013-14","K",17,"292",3,"2","0","2","2","0"
"24","2013-14","K",20,"1,352",1,"0","1","1","1","0"
"25","2013-14","K",14,"276",2,"1","0","0","1","0"
"26","2013-14","K",15,"699",1,"0","0","1","0","0"
"27","2013-14","Q",24,"696",1,"0","0","0","0","0"
"28","2013-14","K",16,"386",2,"0","3","0","0","2"
"29","2013-14","K",16,"574",3,"1","0","6","1","0"
"30","2013-14","K",15,"223",2,"0","1","0","1","0"
"31","2013-14","K",16,"240",1,"0","0","0","0","0"
"32","2013-14","K",15,"803",1,"0","0","1","0","0"
"33","2013-14","K",14,"596",1,"0","0","0","0","0"
"34","2013-14","K",15,"617",2,"1","3","1","4","0"
"35","2013-14","M",2,"619",1,"0","0","0","0","0"
"36","2013-14","K",14,"457",4,"1","7","2","4","3"
"37","2013-14","K",14,"552",1,"1","1","0","2","0"
"38","2013-14","K",16,"428",2,"0","1","2","0","1"
"39","2013-14","K",15,"504",1,"0","0","1","0","0"
"40","2013-14","K",15,"387",1,"0","0","0","0","0"
"41","2013-14","K",16,"579",2,"1","0","0","1","0"
"42","2013-14","K",23,"553",1,"0","6","0","0","5"
"43","2013-14","K",21,"1,367",1,"0","0","1","0","0"
"44","2013-14","K",13,"287",2,"0","0","1","0","0"
"45","2013-14","K",32,"871",1,"0","1","2","1","0"
"46","2013-14","K",13,"674",2,"2","1","2","3","0"
"47","2013-14","K",20,"623",1,"0","0","0","0","0"
"48","2013-14","K",14,"1,466",3,"1","8","4","4","4"
"49","2013-14","K",19,"891",1,"0","0","3","0","0"
"50","2013-14","K",14,"306",2,"0","2","1","1","1"
"51","2013-14","K",15,"1,116",1,"0","0","0","0","0"
"52","2013-14","K",22,"789",1,"0","1","0","0","1"
"53","2013-14","K",13,"251",1,"1","0","0","0","1"
"54","2013-14","K",23,"387",2,"0","5","7","3","1"
"55","2013-14","K",13,"433",3,"0","0","0","0","0"
"56","2013-14","K",20,"1,181",1,"0","1","2","1","0"
"57","2013-14","K",16,"474",3,"2","3","4","2","1"
"58","2013-14","K",15,"944",1,"0","0","0","0","0"
"59","2013-14","K",21,"711",1,"0","3","8","1","1"
"60","2013-14","K",14,"374",2,"0","1","0","0","0"
"61","2013-14","K",17,"777",1,"2","6","8","3","4"
"62","2013-14","K",20,"1,297",1,"0","2","0","1","1"
"63","2013-14","K",18,"777",1,"0","0","0","0","0"
"64","2013-14","K",13,"276",2,"0","2","2","1","0"
"65","2013-14","K",18,"734",1,"2","10","7","3","7"
"66","2013-14","K",20,"867",1,"0","0","0","0","0"
"67","2013-14","K",14,"778",2,"3","13","12","7","7"
"68","2013-14","K",19,"798",2,"1","2","4","1","2"
"69","2013-14","K",21,"824",1,"0","1","1","1","0"
"70","2013-14","K",23,"396",3,"0","1","5","0","1"
"71","2013-14","K",32,"570",1,"0","0","1","0","0"
"72","2013-14","K",22,"914",1,"1","3","7","1","3"
"73","2013-14","K",16,"383",1,"0","4","2","2","1"
"74","2013-14","K",14,"616",1,"0","0","1","0","0"
"75","2013-14","K",13,"236",1,"2","4","4","3","3"
"76","2013-14","K",32,"456",1,"0","0","0","0","0"
"77","2013-14","K",15,"1,609",2,"0","7","4","3","3"
"78","2013-14","K",21,"620",1,"0","2","2","2","0"
"79","2013-14","K",17,"483",1,"1","2","2","1","2"
"80","2013-14","K",17,"493",2,"2","0","2","1","1"
"81","2013-14","K",13,"338",1,"0","1","0","1","0"
"82","2013-14","K",15,"1,519",1,"0","1","0","1","0"
"83","2013-14","K",21,"964",1,"0","0","3","0","0"
"84","2013-14","K",21,"851",1,"0","0","1","0","0"
"85","2013-14","K",21,"724",1,"1","0","1","0","1"
"86","2013-14","K",21,"882",1,"0","0","1","0","0"
"87","2013-14","K",20,"1,770",1,"0","1","0","1","0"
"88","2013-14","K",32,"595",1,"0","2","0","2","0"
"89","2013-14","K",14,"375",1,"0","1","0","1","0"
"90","2013-14","K",32,"802",2,"0","4","12","2","2"
"91","2013-14","K",20,"530",1,"0","0","1","0","0"
